title,year,genres,rating,votes
Mary and Max,2009,"Animation,Comedy,Drama",8.1,157151
Boardwalk Empire,2010,"Crime,Drama,History",8.5,165457
5 Centimeters Per Second,2007,"Animation,Drama,Family",7.6,47196
Shaun the Sheep,2007,"Animation,Comedy,Family",8.2,11200
Claymore,2007,"Action,Adventure,Animation",8.0,11542
Hunger,2008,"Biography,Drama",7.6,63171
Like Stars on Earth,2007,"Drama,Family",8.4,153656
Sherlock Holmes,2009,"Action,Adventure,Crime",7.6,564593
The Class,2007,Drama,7.9,13904
Naruto: Shippûden,2007,"Action,Adventure,Animation",8.6,71559
Battlestar Galactica: Razor,2007,"Action,Drama,Sci-Fi",7.6,20878
The Wolf of Wall Street,2013,"Biography,Crime,Drama",8.2,1100245
Code Geass: Lelouch of the Rebellion,2006,"Action,Animation,Drama",8.6,44357
Generation Kill,2008,"Drama,War",8.5,45311
Darker Than Black,2007,"Action,Animation,Drama",7.8,10510
