title,year,genres,rating,votes
The Motorcycle Diaries,2004,"Adventure,Biography,Drama",7.8,93706
Angels in America,2003,"Drama,Fantasy,Romance",8.2,25076
Big Fish,2003,"Adventure,Drama,Fantasy",8.0,401035
The Legend of Bhagat Singh,2002,"Action,Biography,Drama",8.1,13771
Mondays in the Sun,2002,"Comedy,Drama",7.6,12514
Carnivàle,2003,"Drama,Fantasy,Mystery",8.4,41341
Life Is a Miracle,2004,"Comedy,Drama,Music",7.6,11856
Lakshya,2004,"Action,Drama,Romance",7.9,19328
Hellsing,2001,"Action,Animation,Comedy",7.9,13752
The Last Samurai,2003,"Action,Drama,War",7.7,383257
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action,Adventure,Fantasy",8.0,987691
Mystic River,2003,"Crime,Drama,Mystery",7.9,402402
Coraline,2009,"Animation,Drama,Family",7.7,185917
Man on Fire,2004,"Action,Crime,Drama",7.7,317819
Dolls,2002,"Drama,Romance",7.6,15202
The L Word,2004,"Drama,Romance",7.6,23233
Harry Potter and the Goblet of Fire,2005,"Adventure,Family,Fantasy",7.7,514427
The Notebook,2004,"Drama,Romance",7.8,495165
Lost in Translation,2003,"Drama,Romance",7.7,391714
Eternal Sunshine of the Spotless Mind,2004,"Drama,Romance,Sci-Fi",8.3,864414
The Barbarian Invasions,2003,"Comedy,Crime,Drama",7.6,27555
Evil,2003,Drama,7.8,34544
Infernal Affairs,2002,"Crime,Drama,Mystery",8.0,114575
The Station Agent,2003,"Comedy,Drama",7.6,65643
Capturing the Friedmans,2003,"Biography,Documentary",7.7,23132
Teen Titans,2003,"Action,Adventure,Animation",7.8,24586
A Very Long Engagement,2004,"Drama,Mystery,Romance",7.6,69404
Distant,2002,Drama,7.6,17052
Ghost in the Shell: Stand Alone Complex,2002,"Action,Animation,Crime",8.5,17134
The Best of Youth,2003,"Drama,Romance",8.5,19680
Penn & Teller: Bullshit!,2003,"Comedy,Documentary",8.2,11298
Head-On,2004,"Drama,Romance",7.9,48795
Howl's Moving Castle,2004,"Adventure,Animation,Family",8.2,300050
Kal ho naa ho,2003,"Comedy,Drama,Romance",8.0,59939
Dead Like Me,2003,"Comedy,Drama,Fantasy",8.1,38994
Deadwood,2004,"Crime,Drama,History",8.6,89670
Ray,2004,"Biography,Drama,Music",7.7,132765
The Twilight Samurai,2002,"Drama,History,Romance",8.1,21246
Cinderella Man,2005,"Biography,Drama,History",8.0,170717
Chappelle's Show,2003,"Comedy,Music",8.7,50012
Memories of Murder,2003,"Action,Crime,Drama",8.1,117899
Walk the Line,2005,"Biography,Drama,Music",7.8,224869
Earthlings,2005,"Documentary,Horror",8.7,16915
Little Britain,2003,Comedy,7.6,20777
Nip/Tuck,2003,Drama,7.6,51572
Star Wars: Clone Wars,2003,"Action,Adventure,Animation",7.8,21275
Wonderfalls,2004,"Comedy,Drama,Fantasy",8.2,11822
Inglourious Basterds,2009,"Adventure,Drama,War",8.3,1193030
The Machinist,2004,"Drama,Thriller",7.7,342726
Downfall,2004,"Biography,Drama,History",8.2,317459
Drake & Josh,2004,"Comedy,Family",7.7,33436
Love Me If You Dare,2003,"Comedy,Drama,Romance",7.6,65315
Oldboy,2003,"Action,Drama,Mystery",8.4,485325
NCIS,2003,"Action,Crime,Drama",7.8,113432
Shaun of the Dead,2004,"Comedy,Horror",7.9,491468
Swades,2004,Drama,8.2,78308
Arrested Development,2003,Comedy,8.8,265213
Anbe Sivam,2003,"Adventure,Comedy,Drama",8.7,14135
No Direction Home: Bob Dylan,2005,"Biography,Documentary",8.5,10791
One Tree Hill,2003,"Drama,Romance,Sport",7.6,68797
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,"Action,Adventure,Animation",7.8,13072
The Sea Inside,2004,"Biography,Drama",8.0,74854
Reno 911!,2003,"Comedy,Crime",7.9,15899
Mysterious Skin,2004,Drama,7.6,63980
Iron Man,2008,"Action,Adventure,Sci-Fi",7.9,902744
The Bourne Supremacy,2004,"Action,Mystery,Thriller",7.7,419586
Batman Begins,2005,"Action,Adventure",8.2,1249178
The Chorus,2004,"Drama,Music",7.9,54786
Kung Fu Hustle,2004,"Action,Comedy,Fantasy",7.7,121518
The Boondocks,2005,"Action,Animation,Comedy",8.3,25422
Gangaajal,2003,"Action,Crime,Drama",7.8,14662
Kontroll,2003,"Comedy,Crime,Drama",7.7,23673
Stargate: Atlantis,2004,"Action,Adventure,Drama",8.1,59008
The Pacific,2010,"Action,Adventure,Drama",8.3,93568
"Spring, Summer, Fall, Winter... and Spring",2003,"Drama,Romance",8.0,73749
Half-Life 2,2004,"Action,Adventure,Sci-Fi",9.4,13951
